lemma,freq
society,165769
picture,165703
piece,165538
paper,165070
energy,164622
personal,164270
building,164119
military,163555
open,163231
doctor,163129
activity,162943
exactly,162663
american,162614
media,162177
miss,162066
evidence,162050
product,161999
realize,161762
save,161469
arm,161185
technology,160819
catch,160594
comment,160451
look,160145
term,160014
color,160011
cover,159606
describe,159521
guess,159454
choice,159277
source,158588
mom,158511
soon,158194
director,158028
international,157724
rule,157468
campaign,157373
ground,156706
election,156532
face,156455
uh,156333
check,155591
page,154863
fight,154643
itself,154505
test,154189
patient,154125
produce,154082
certain,154059
whatever,153872
half,153688
video,153563
support,152769
throw,152388
third,152339
care,152255
rest,151864
recent,151697
available,151406
step,151394
ready,151349
opportunity,151226
official,150423
oil,150410
call,149896
organization,149261
character,148825
single,148796
current,148387
likely,148216
county,148165
future,147923
dad,147520
whose,147491
less,147290
shoot,147137
industry,146746
second,146634
list,146495
general,146275
stuff,145992
figure,145812
attention,145669
forget,145557
risk,145334
no,144919
focus,144896
short,144842
fire,144750
dog,144648
red,144046
hair,143875
point,143750
condition,143732
wall,143389
daughter,142747
before,142673
deal,142589
author,142352
truth,142017
upon,141420
husband,141289
period,141173
series,140231
order,140025
officer,139938
close,139704
land,139579
note,139111
computer,139082
thought,139016
economy,138752
goal,138693
bank,138673
behavior,138400
sound,138386
deal,138197
certainly,138162
nearly,138034
increase,137709
act,137668
north,137666
well,137599
blood,137579
culture,137140
medical,136850
ok,136788
everybody,136787
top,136658
difficult,136474
close,136431
language,136124
window,136043
response,135942
population,135733
lie,135712
tree,135666
park,135440
worker,135244
draw,135022
plan,135011
drop,134220
push,134206
earth,134202
cause,133998
per,133974
private,133907
tonight,133341
race,133182
than,133168
letter,132828
other,132728
gun,132572
simple,132004
course,131911
wonder,131649
involve,131275
hell,131265
poor,131105
each,130754
answer,130534
nature,130378
administration,130297
common,130294
no,130206
hard,129919
message,129799
song,129648
enjoy,129575
similar,129272
congress,128923
attack,128893
past,128832
hot,128310
seek,128234
amount,128075
analysis,128029
store,127984
defense,127924
bill,127919
like,127828
cell,127818
away,127427
performance,127318
hospital,127317
bed,127232
board,127202
protect,126672
century,126668
summer,126418
material,126254
individual,125578
recently,125532
example,125442
represent,125330
fill,125249
state,125064
place,124900
animal,124835
fail,124675
factor,123915
natural,123788
sir,123629
agency,123524
usually,123303
significant,123040
help,123017
ability,122943
mile,122899
statement,122852
entire,122397
democrat,122325
floor,122291
serious,122251
career,122177
dollar,121984
vote,121578
sex,121352
compare,120978
south,120894
forward,120845
subject,120773
financial,120726
identify,120690
beautiful,120679
decade,120539
bit,120467
reduce,120399
sister,120346
quality,120236
quickly,120136
act,119650
press,119485
worry,119256
accept,119245
enter,119119
mention,119033
sound,119028
thus,118653
plant,118323
movement,118118
scene,118003
section,117170
treatment,116893
wish,116884
benefit,116806
interesting,116773
west,116683
candidate,116347
approach,116173
determine,116138
resource,116078
claim,116020
answer,115956
prove,115910
sort,115486
enough,115462
size,115388
somebody,115363
knowledge,115356
rather,115104
hang,114959
sport,114894
tv,114859
loss,114630
argue,114425
left,114320
note,114251
meeting,114209
skill,113912
card,113472
feeling,113414
despite,113257
degree,113046
crime,112978
that,112903
sign,112603
occur,112575
imagine,112572
vote,112405
near,112214
king,112088
box,112035
present,111731
figure,111647
seven,111646
foreign,111509
laugh,111440
disease,111433
lady,111384
beyond,111221
discuss,111181
finish,111094
design,111026
concern,110976
ball,110770
east,110589
recognize,110405
apply,110328
prepare,110266
network,110210
huge,110088
success,110030
district,109941
cup,109915
name,109851
physical,109576
growth,109567
rise,109035
hi,108665
standard,107818
force,107636
sign,107633
fan,107631
theory,107486
staff,107396
hurt,107262
legal,107134
september,106932
set,106920
outside,106572
et,106546
strategy,106236
clearly,105965
property,105851
lay,105812
final,105688
authority,105586
perfect,105560
method,105544
region,105382
since,105367
impact,105330
indicate,105304
safe,105273
committee,105133
supposed,105037
dream,104797
training,104563
shit,104498
central,104403
option,104245
eight,104060
particularly,104018
completely,103941
opinion,103920
main,103803
ten,103677
interview,103566
exist,103550
remove,103480
dark,103384
play,103352
union,102805
professor,102741
pressure,102669
purpose,102642
stage,102611
blue,102172
herself,102154
sun,102043
pain,101918
artist,101861
employee,101818
avoid,101794
account,101683
release,101668
fund,101503
environment,101479
treat,101438
specific,101222
version,101091
shot,101016
hate,100757
reality,100700
visit,100463
club,100411
justice,100360
river,100270
memory,100235
brain,100235
rock,100028
talk,99986
camera,99855
global,99848
various,99838
arrive,99819
notice,99709
bit,99520
detail,99477
challenge,99455
argument,99403
lot,99278
nobody,99029
weapon,98828
best,98807
station,98720
island,98596
absolutely,98574
instead,98540
discussion,98359
instead,98231
affect,98073
design,97967
little,97858
anyway,97831
respond,97750
control,97504
trouble,97439
conversation,97193
manage,97135
close,97117
date,97094
public,97031
army,97025
top,96997
post,96926
charge,96872
seat,96853
assume,96840
writer,96279
perform,96202
credit,95981
green,95937
marriage,95885
operation,95878
indeed,95860
sleep,95600
necessary,95580
reveal,95401
agent,95371
access,95371
bar,95305
debate,95244
leg,95185
contain,95143
beat,94941
cool,94920
democratic,94862
cold,94856
glass,94803
improve,94764
adult,94547
trade,94509
religious,94485
head,94408
review,94364
kind,94334
address,94155
association,94100
measure,93952
stock,93809
gas,93763
deep,93753
lawyer,93526
production,93507
relate,93433
middle,93428
management,93289
original,93230
victim,93207
cancer,93157
speech,92837
particular,92775
trial,92762
none,92729
item,92545
weight,92516
tomorrow,92490
step,92268
positive,92223
form,92198
citizen,92182
study,92101
trip,91830
establish,91776
executive,91696
politics,91621
stick,91597
customer,91563
manager,91527
rather,91475
publish,91441
popular,91435
sing,91395
ahead,91325
conference,91185
total,91071
discover,90959
fast,90956
base,90915
direction,90826
sunday,90771
maintain,90737
past,90674
majority,90548
peace,90518
dinner,90516
partner,90455
user,90342
above,90318
fly,90236
bag,90234
therefore,89981
rich,89706
individual,89686
owner,89612
tough,89612
shall,89582
inside,89494
voter,89245
tool,89236
june,89233
far,89074
may,88994
mountain,88984
range,88892
coach,88826
fear,88724
friday,88632
attorney,88616
unless,88605
nor,88431
expert,88134
structure,88114
budget,88084
insurance,88036
text,87811
freedom,87806
crazy,87804
reader,87422
style,87244
through,87238
march,87215
machine,87156
november,87108
generation,87071
income,86902
born,86829
admit,86631
hello,86614
onto,86605
sea,86544
okay,86529
mouth,86406
throughout,86381
own,86371
test,86155
web,85868
shake,85841
threat,85754
solution,85661
shut,85625
down,85515
travel,85441
scientist,85428
hide,85395
obviously,85364
refer,85212
alone,85036
drink,84895
investigation,84783
senator,84544
unit,84518
photograph,84476
july,84439
television,84433
key,84228
sexual,84220
radio,84218
prevent,84179
once,84165
modern,83945
senate,83931
violence,83882
touch,83871
feature,83853
audience,83493
evening,83312
whom,83267
front,83180
hall,82960
task,82839
score,82738
skin,82598
suffer,82579
wide,82565
spring,82557
experience,82550
civil,82544
safety,82535
weekend,82429
while,82196
worth,82178
title,82165
heat,82112
normal,82076
hope,81896
yard,81852
finger,81817
tend,81665
mission,81524
eventually,81481
participant,81371
hotel,81364
judge,81312
pattern,81097
break,81057
institution,80998
faith,80912
professional,80903
reflect,80851
folk,80843
surface,80819
fall,80585
client,80584
edge,80577
traditional,80470
council,80469
device,80398
firm,80364
environmental,80328
responsibility,80294
chair,80186
internet,80144
october,80099
by,80074
funny,79978
immediately,79856
investment,79833
ship,79715
effective,79635
previous,79535
content,79496
consumer,79489
element,79440
nuclear,79435
spirit,79123
directly,79121
afraid,78979
define,78953
handle,78899
track,78828
run,78645
wind,78623
lack,78587
cost,78520
announce,78426
journal,78364
heavy,78327
ice,78316
collection,78281
feed,78280
soldier,78276
just,78214
governor,78194
fish,78114
shoulder,78062
cultural,78023
successful,77999
fair,77775
trust,77728
suddenly,77721
